,Food,Lasso Prediction,Lasso Lower Bound,Lasso Upper Bound,Lasso with Polynomial Prediction,Lasso Poly Lower Bound,Lasso Poly Upper Bound,Random Forest Prediction,RF Lower Bound,RF Upper Bound,XGBoost Prediction,XGBoost Lower Bound,XGBoost Upper Bound,Bayesian LR Prediction,Bayesian LR Lower Bound,Bayesian LR Upper Bound
0,Chicken Breast,205.0585139953034,46.556743491136416,777.2516944121601,207.39067953637988,-17.54380114722119,834.24228091041,179.43333333333334,48.666666666666664,676.8666666666667,192.71895,13.70883846282959,860.208740234375,204.8826,46.98319854736328,673.738390350342
1,Apple,90.1605588372679,46.556743491136416,777.2516944121601,77.0906021596362,-17.54380114722119,834.24228091041,118.83333333333333,48.666666666666664,676.8666666666667,93.88379,13.70883846282959,860.208740234375,90.000984,46.98319854736328,673.738390350342
2,Banana,78.66804333959561,46.556743491136416,777.2516944121601,69.31590618538189,-17.54380114722119,834.24228091041,94.7,48.666666666666664,676.8666666666667,92.06257,13.70883846282959,860.208740234375,78.47593,46.98319854736328,673.738390350342
3,Almonds,777.2516944121601,46.556743491136416,777.2516944121601,834.24228091041,-17.54380114722119,834.24228091041,676.8666666666667,48.666666666666664,676.8666666666667,860.20874,13.70883846282959,860.208740234375,781.3747,46.98319854736328,673.738390350342
4,Avocado,301.9029485367021,46.556743491136416,777.2516944121601,336.13762076681195,-17.54380114722119,834.24228091041,304.51666666666665,48.666666666666664,676.8666666666667,249.97868,13.70883846282959,860.208740234375,302.99112,46.98319854736328,673.738390350342
5,Broccoli,49.55308830631736,46.556743491136416,777.2516944121601,50.15389319899492,-17.54380114722119,834.24228091041,65.43333333333334,48.666666666666664,676.8666666666667,81.60769,13.70883846282959,860.208740234375,49.31785,46.98319854736328,673.738390350342
6,Egg,66.6730300957359,46.556743491136416,777.2516944121601,-17.54380114722119,-17.54380114722119,834.24228091041,73.93333333333334,48.666666666666664,676.8666666666667,13.708838,13.70883846282959,860.208740234375,65.202705,46.98319854736328,673.738390350342
7,Salmon,286.36328094791503,46.556743491136416,777.2516944121601,301.28828704732496,-17.54380114722119,834.24228091041,249.2,48.666666666666664,676.8666666666667,263.84952,13.70883846282959,860.208740234375,286.9051,46.98319854736328,673.738390350342
8,Greek Yogurt,91.31299013977505,46.556743491136416,777.2516944121601,106.77696332602261,-17.54380114722119,834.24228091041,120.26666666666667,48.666666666666664,676.8666666666667,118.01597,13.70883846282959,860.208740234375,91.15917,46.98319854736328,673.738390350342
9,Sweet Potato,46.556743491136416,46.556743491136416,777.2516944121601,39.32779937932503,-17.54380114722119,834.24228091041,48.666666666666664,48.666666666666664,676.8666666666667,53.70354,13.70883846282959,860.208740234375,46.305397,46.98319854736328,673.738390350342
