Unnamed: 0,company,item,calories,"total fat
(g)","saturated fat
(g)","trans fat
(g)","cholesterol
(mg)","sodium 
(mg)","carbs
(g)","fiber
(g)","sugars
(g)","protein
(g)"
0,McDonald’s,Hamburger,250,9,3,0,25,520,31,2,6,12
1,McDonald’s,Cheeseburger,300,12,6,0,40,750,33,2,6,15
2,McDonald’s,Double Cheeseburger,440,23,11,1,80,1150,34,2,7,25
3,McDonald’s,McDouble,390,19,8,1,65,920,33,2,7,22
4,McDonald’s, Quarter Pounder® with Cheese,510,26,12,1,90,1190,40,3,9,29
5,McDonald’s,Double Quarter Pounder® with Cheese,740,42,19,2,155,1380,40,3,9,48
6,McDonald’s,Big Mac®,540,29,10,1,75,1040,45,3,9,25
7,McDonald’s,Big N’ Tasty®,460,24,8,1,70,720,37,3,8,24
8,McDonald’s,Big N’ Tasty® with Cheese,510,28,11,1,85,960,38,3,8,27
9,McDonald’s,Angus Bacon & Cheese,790,39,17,2,145,2070,63,4,13,45
10,McDonald’s,Angus Deluxe,750,39,16,2,135,1700,61,4,10,40
11,McDonald’s,Angus Mushroom & Swiss,770,40,17,2,135,1170,59,4,8,44
12,McDonald’s,Filet-O-Fish®,380,18,3,0,40,640,38,2,5,15
13,McDonald’s,McChicken ®,360,16,3,0,35,830,40,2,5,14
14,McDonald’s,McRib ®,500,26,10,0,70,980,44,3,11,22
15,McDonald’s,Premium Grilled Chicken Classic Sandwich,360,9,2,0,65,820,41,4,8,27
16,McDonald’s,Premium Crispy Chicken Classic Sandwich,510,22,3,0,45,990,56,3,10,24
17,McDonald’s,Premium Grilled Chicken Club Sandwich,460,17,6,0,90,1040,43,4,9,35
18,McDonald’s,Premium Crispy Chicken Club Sandwich,620,29,7,0,70,1200,57,3,11,31
19,McDonald’s,Premium Grilled Chicken Ranch BLT Sandwich,380,10,3,0,75,1000,41,4,9,31
20,McDonald’s,Premium Crispy Chicken Ranch BLT Sandwich,540,23,4,0,55,1160,56,3,11,27
21,McDonald’s,Southern Style Crispy Chicken Sandwich,400,17,3,0,45,1030,39,1,6,24
22,McDonald’s,Ranch Snack Wrap® (Crispy),340,17,4,0,30,810,33,1,2,14
23,McDonald’s,Ranch Snack Wrap® (Grilled),270,10,4,0,45,830,26,1,2,18
24,McDonald’s,Honey Mustard Snack Wrap® (Crispy),330,16,4,0,30,780,34,1,4,14
25,McDonald’s,Honey Mustard Snack Wrap® (Grilled),260,9,3,0,45,800,27,1,4,18
26,McDonald’s,Chipotle BBQ Snack Wrap® (Crispy),330,15,4,0,30,810,35,1,4,14
27,McDonald’s,Chipotle BBQ Snack Wrap® (Grilled),260,9,3,0,45,830,28,1,5,18
28,McDonald’s,Angus Bacon & Cheese Snack Wrap,390,21,9,1,75,1080,28,1,4,21
29,McDonald’s,Angus Chipotle BBQ Bacon,800,39,18,2,145,2020,66,4,16,45
30,McDonald’s,Angus Chipotle BBQ Bacon Snack Wrap,400,22,10,1,75,1060,30,1,6,21
31,McDonald’s,Angus Deluxe Snack Wrap,410,25,10,1,75,990,27,2,3,20
32,McDonald’s,Angus Mushroom & Swiss Snack Wrap,430,26,10,1,75,730,27,2,2,22
